0,1,240.487
0,1,204.11
0,1,268.129
1,0.277273,0
0.015,0.995548,215.712
0.105,0.951689,210.564
0.05,0.991137,186.382
0.035,0.98749,209.71
0,1,236.489
0.005,0.99774,264.765
0.015,0.995261,200.665
0.02,0.998116,220.489
0.065,0.98472,224.363
0.1,0.98591,180.493
0.11,0.986092,191.596
0.105,0.983356,215.943
0.065,0.986086,212.212
0.08,0.985967,193.265
0.1,0.97234,164.654
0.095,0.975946,219.902
0.16,0.942274,202.407
0,1,197.872
0.05,0.995237,207.09
0.015,0.99796,208.147
0.02,0.997113,239.618
0.08,0.987855,150.766
0.045,0.993886,203.268
0.03,0.994931,235.839
0.09,0.986497,248.216
0.15,0.962382,201.118
0.065,0.988414,173.263
0.1,0.983691,190.92
0.065,0.991974,236.55
0.01,0.998824,212.781
0.08,0.991888,194.776
0,1,219.265
0.03,0.994525,216.684
0,1,188.362
0.04,0.990887,219.104
0.105,0.983509,216.05
0.08,0.98247,219.341
0,1,208.172
0.18,0.967904,162.892
0.04,0.994166,221.53
0.085,0.987711,215.003
0.065,0.989118,217.302
0.03,0.999042,196.001
0,1,208.493
0.04,0.993843,244.94
0.46,0.660223,100.697
0.335,0.769427,146.497
0.255,0.872318,191.729
0.3,0.772709,126.476
0.285,0.843705,136.16
0.46,0.660398,111.973
0.38,0.747009,128.258
0.5,0.638636,115.964
0.47,0.670365,139.369
0.435,0.689995,112.397
