0.3,110.27
0.35,119.966
0.25,135.578
0.25,97.3422
0.25,121.453
0.35,140.949
0.3,129.167
0.3,131.233
0.35,104.803
0.15,109.602
0.3,98.6634
0.25,100.793
0.2,129.417
0.25,117.368
0.2,98.7079
0.35,118.388
0.25,107.152
0.2,121.721
0.05,128.05
0.2,97.8382
0.35,119.717
0.15,128.604
0.25,117.354
0.15,116.862
0.25,116.125
0.2,146.769
0.15,113.574
0.3,101.312
0.25,142.467
0.15,140.764
0.25,127.28
0.15,117.348
0.35,99.9993
0.4,110.348
0.15,136.248
0.3,132.255
0.2,134.234
0.35,114.782
0.2,115.326
0.3,123.73
0.3,132.39
0.45,108.373
0.35,107.562
0.25,132.8
0.2,93.3449
0.25,146.794
0.3,133.858
0.25,115.657
0.3,113.671
0.25,138.014
0.4,111.068
0.3,145.245
0.4,118.566
0.3,95.3989
0.25,125.815
0.3,127.476
0.35,136.92
0.25,103.648
0.15,286.824
0.25,189.514
0.05,212.179
0.1,239.521
0.1,272.882
0.45,102.165
0.2,124.022
0.35,143.342
0.3,152.866
0.3,117.381
0.25,135.104
0.2,132.259
0.5,118.377
0.3,120.785
0.45,93.6274
0.3,113.923
0.4,121.43
0.35,146.8
0.2,134.245
0.3,106.226
0.15,128.863
0.2,128.472
